order,family,subfamily,genus,subgenus,species,spauthor,year_described,common_name,gaa_name,syn1,syn2,syn3,syn4,syn5,syn6,itis_names,iucn,isocc,Genus_species,Tympanic.membrane,Tympanic.annulus,Columella,Collapsed_SVL,Microhabitat,Source,alt_mean,alt_min,alt_max,latitude_mean,latitude_min,latitude_max,mean_temp,min_temp,max_temp,df,ActiveTime,ear
Anura,Bufonidae,,Rhinella,,yanachaga,"Lehr, Pramuk, Hedges & Córdova, 2007",2007,,Rhinella yanachaga,,NA,NA,NA,NA,NA,,Endangered (EN),PE,Rhinella_yanachaga,1,1,1,NA,semi.arboreal,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sabahphrynus,,maculatus,"(Mocquard, 1890)",NA,,,Ansonia_anotis,_Pedostibes_maculatus,_Nectophryne_maculata,NA,NA,NA,"Ansonia anotis, Pedostibes maculatus, Nectophryne maculata",Least Concern (LC),MY,Sabahphrynus_maculatus,0,0,0,52.1,arboreal,AmphibiaWeb 2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,N
Anura,Bufonidae,,Schismaderma,,carens,"(Smith, 1848)",1848,English Red Toad; Zulu: Ixoxo elibomvua,Schismaderma carens,,NA,NA,NA,NA,NA,,Least Concern (LC),"AO,BW,CD,KE,MW,MZ,NA,ZA,SZ,TZ,ZM,ZW",Schismaderma_carens,1,1,1,92,terrestrial,AmphibiaWeb 2016,833.5414365,2,1730,-22.95881519,-30.26667,-4.9,199.8674033,143,263,450,__,Y
Anura,Bufonidae,,Sclerophrys,,arabica,"(Heyden, 1827)",NA,,Sclerophrys arabica,Amietophrynus_arabica,NA,NA,NA,NA,NA,,Least Concern (LC),"OM,SA,AE,YE",Sclerophrys_arabica,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sclerophrys,,asmarae,"(Tandy, Bogart, Largen & Feener, 1982)",NA,,Sclerophrys asmarae,Bufo_asmarae,_Amietophrynus_asmarae,NA,NA,NA,NA,Bufo asmarae,Least Concern (LC),"ER,ET",Sclerophrys_asmarae,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sclerophrys,,blanfordii,"(Boulenger, 1882)",NA,,Sclerophrys blanfordii,Bufo_blanfordii,_Amietophrynus_blanfordii,NA,NA,NA,NA,Bufo blanfordii,Least Concern (LC),"DJ,SO,ET",Sclerophrys_blanfordii,?,1,1inf,NA,semi.aquatic,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sclerophrys,,brauni,"(Nieden, 1911)",NA,,Sclerophrys brauni,Bufo_brauni,_Amietophrynus_brauni,NA,NA,NA,NA,Bufo brauni,Least Concern (LC),TZ,Sclerophrys_brauni,1,1,1inf,NA,terrestrial,IUCN 2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sclerophrys,,buchneri,"(Peters, 1882)",NA,,Sclerophrys buchneri,Bufo_buchneri,NA,NA,NA,NA,NA,Bufo buchneri,Data Deficient (DD),AO,Sclerophrys_buchneri,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sclerophrys,,capensis,"Tschudi, 1838",1838,"Ranger's Toad, Zulu: Ixoxo eliklabalasayoa",Sclerophrys capensis,Bufo_rangeri,_Bufo_regularis_rangeri,_Amietophrynus_rangeri,NA,NA,NA,"Bufo rangeri, Bufo regularis rangeri",Least Concern (LC),"LS,ZA,SZ",Sclerophrys_capensis,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
Anura,Bufonidae,,Sclerophrys,,channingi,"(Barej, Schmitz, Menegon, Hillers, Hinkel, Böhme & Rödel, 2011)",2011,,Sclerophrys channingi,Amietophrynus_channingi,NA,NA,NA,NA,NA,,Least Concern (LC),CD,Sclerophrys_channingi,1,1,1inf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,__,Y
